f1,auc,precision,recall,accuracy,dataset,WL,n,id
0.8,0.9624413145539906,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_13.csv,19,3,4
0.8,0.9100156494522692,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_13.csv,19,5,0
0.5,0.8669796557120502,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_13.csv,19,5,1
0.5,0.8474178403755869,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_13.csv,19,5,2
0.5,0.8427230046948357,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_13.csv,19,5,3
0.5,0.7844287949921753,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_13.csv,19,5,4
0.5,0.8401318500206015,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_15.csv,29,2,0
0.5,0.8294190358467244,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_15.csv,29,2,1
0.5,0.8405438813349815,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_15.csv,29,2,2
0.5,0.8158220024721881,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_15.csv,29,2,3
0.5,0.8512566955088586,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_15.csv,29,2,4
0.8,0.8871794871794871,1.0,0.6666666666666666,0.9987228607918264,A1Benchmark/real_15.csv,29,3,0
0.4,0.8025641025641025,0.5,0.3333333333333333,0.9961685823754788,A1Benchmark/real_15.csv,29,3,1
0.5,0.8089743589743589,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_15.csv,29,3,2
0.5,0.8282051282051281,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_15.csv,29,3,3
0.5,0.8055555555555555,1.0,0.3333333333333333,0.9974457215836526,A1Benchmark/real_15.csv,29,3,4
0.5714285714285715,0.9038686987104338,1.0,0.4,0.9965034965034965,A1Benchmark/real_15.csv,11,2,0
0.5714285714285715,0.9259085580304808,1.0,0.4,0.9965034965034965,A1Benchmark/real_15.csv,11,2,1
0.5714285714285715,0.9141852286049238,1.0,0.4,0.9965034965034965,A1Benchmark/real_15.csv,11,2,2
0.5714285714285715,0.8691676436107855,1.0,0.4,0.9965034965034965,A1Benchmark/real_15.csv,11,2,3
0.6666666666666665,0.9202813599062132,0.75,0.6,0.9965034965034965,A1Benchmark/real_15.csv,11,2,4
0.5714285714285715,0.9268464243845252,1.0,0.4,0.9965034965034965,A1Benchmark/real_15.csv,11,3,0
0.7499999999999999,0.9514654161781946,1.0,0.6,0.9976689976689976,A1Benchmark/real_15.csv,11,3,1
0.8000000000000002,0.9695193434935521,0.8,0.8,0.9976689976689976,A1Benchmark/real_15.csv,11,3,2
0.7499999999999999,0.9172332942555684,1.0,0.6,0.9976689976689976,A1Benchmark/real_15.csv,11,3,3
0.7499999999999999,0.9533411488862836,1.0,0.6,0.9976689976689976,A1Benchmark/real_15.csv,11,3,4
0.5,0.8292781832927819,1.0,0.3333333333333333,0.9975757575757576,A1Benchmark/real_15.csv,11,5,0
0.4,0.8021086780210867,0.5,0.3333333333333333,0.9963636363636365,A1Benchmark/real_15.csv,11,5,1
0.5,0.8304947283049473,1.0,0.3333333333333333,0.9975757575757576,A1Benchmark/real_15.csv,11,5,2
0.8,0.9051094890510948,1.0,0.6666666666666666,0.9987878787878788,A1Benchmark/real_15.csv,11,5,3
0.5,0.8033252230332523,1.0,0.3333333333333333,0.9975757575757576,A1Benchmark/real_15.csv,11,5,4
0.5,0.8395358143257302,1.0,0.3333333333333333,0.9976076555023924,A1Benchmark/real_15.csv,19,2,0
0.5,0.8255302120848339,1.0,0.3333333333333333,0.9976076555023924,A1Benchmark/real_15.csv,19,2,1
0.5,0.8275310124049621,1.0,0.3333333333333333,0.9976076555023924,A1Benchmark/real_15.csv,19,2,2
0.8,0.8839535814325731,1.0,0.6666666666666666,0.998803827751196,A1Benchmark/real_15.csv,19,2,3
0.5,0.8575430172068828,1.0,0.3333333333333333,0.9976076555023924,A1Benchmark/real_15.csv,19,2,4
0.8,0.9960876369327074,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_15.csv,19,3,0
0.8,0.9698748043818466,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_15.csv,19,3,1
0.8,0.9687010954616588,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_15.csv,19,3,2
0.8,0.9675273865414712,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_15.csv,19,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_15.csv,19,3,4
0.5,0.8442879499217527,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_15.csv,19,5,0
0.5,0.8192488262910799,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_15.csv,19,5,1
0.5,0.8302034428794991,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_15.csv,19,5,2
0.8,0.9002347417840376,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_15.csv,19,5,3
0.5,0.8278560250391236,1.0,0.3333333333333333,0.9976608187134502,A1Benchmark/real_15.csv,19,5,4
0.8,0.9926951172625912,1.0,0.6666666666666666,0.9988505747126436,A1Benchmark/real_16.csv,29,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,29,2,1
0.8571428571428571,0.9996155324875048,0.75,1.0,0.9988505747126436,A1Benchmark/real_16.csv,29,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,29,2,3
0.8,0.996155324875048,1.0,0.6666666666666666,0.9988505747126436,A1Benchmark/real_16.csv,29,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,29,3,0
0.8,0.996155324875048,1.0,0.6666666666666666,0.9988505747126436,A1Benchmark/real_16.csv,29,3,1
0.8,0.998077662437524,1.0,0.6666666666666666,0.9988505747126436,A1Benchmark/real_16.csv,29,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,29,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,29,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,19,2,0
0.8,0.9984691924990432,1.0,0.6666666666666666,0.9988558352402744,A1Benchmark/real_16.csv,19,2,1
0.8,0.9988518943742823,1.0,0.6666666666666666,0.9988558352402744,A1Benchmark/real_16.csv,19,2,2
0.8571428571428571,0.9996172981247607,0.75,1.0,0.9988558352402744,A1Benchmark/real_16.csv,19,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_16.csv,19,2,4
0.8,0.9945226917057904,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,3,0
0.8,0.9937402190923316,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,3,1
0.8,0.9992175273865416,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,3,2
0.8,0.9992175273865416,1.0,0.6666666666666666,0.9988304093567252,A1Benchmark/real_16.csv,19,3,3
