Accuracy,Recall,Precision,Fscore,AUC,dataset,WL,n,id
0.9953703703703703,0.5555555555555556,1.0,0.7142857142857143,0.8721247563352826,A1Benchmark/real_13.csv,11,5,3
0.9953703703703703,0.5555555555555556,1.0,0.7142857142857143,0.8700454840805718,A1Benchmark/real_13.csv,11,5,4
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.8100064977257959,A1Benchmark/real_13.csv,19,2,0
0.9953703703703703,0.5555555555555556,1.0,0.7142857142857143,0.8625081221572449,A1Benchmark/real_13.csv,19,2,1
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.7821962313190383,A1Benchmark/real_13.csv,19,2,2
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.8206627680311891,A1Benchmark/real_13.csv,19,2,3
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.8184535412605588,A1Benchmark/real_13.csv,19,2,4
0.9965277777777778,0.6666666666666666,1.0,0.8,0.8517218973359324,A1Benchmark/real_13.csv,19,3,0
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.7738791423001949,A1Benchmark/real_13.csv,19,3,1
0.9953703703703703,0.5555555555555556,1.0,0.7142857142857143,0.8176738141650423,A1Benchmark/real_13.csv,19,3,2
0.9965277777777778,0.6666666666666666,1.0,0.8,0.8874593892137752,A1Benchmark/real_13.csv,19,3,3
0.9965277777777778,0.6666666666666666,1.0,0.8,0.8797920727745289,A1Benchmark/real_13.csv,19,3,4
0.9953703703703703,0.5555555555555556,1.0,0.7142857142857143,0.826380766731644,A1Benchmark/real_13.csv,19,5,0
0.9942129629629628,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.8266406757634828,A1Benchmark/real_13.csv,19,5,1
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.8110461338531514,A1Benchmark/real_13.csv,19,5,2
0.9942129629629628,0.4444444444444444,1.0,0.6153846153846153,0.7984405458089668,A1Benchmark/real_13.csv,19,5,3
0.9965277777777778,0.6666666666666666,1.0,0.8,0.8858999350227421,A1Benchmark/real_13.csv,19,5,4
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,57,2,0
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,57,2,1
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,57,2,2
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,57,2,3
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,57,2,4
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,2,0
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,2,1
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,2,2
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,2,3
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,2,4
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,3,0
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,3,1
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,3,2
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,3,3
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,29,3,4
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,2,0
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,2,1
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,2,2
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,2,3
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,2,4
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,3,0
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,3,1
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,3,2
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,3,3
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,3,4
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,5,0
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,5,1
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,5,2
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,5,3
1.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv,11,5,4
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8033002336448599,A1Benchmark/real_15.csv,29,2,0
0.9965277777777778,0.75,0.8571428571428571,0.7999999999999999,0.8691588785046729,A1Benchmark/real_15.csv,29,2,1
0.9976851851851852,0.75,1.0,0.8571428571428571,0.8874123831775701,A1Benchmark/real_15.csv,29,2,2
0.9953703703703703,0.75,0.75,0.75,0.8441880841121495,A1Benchmark/real_15.csv,29,2,3
0.9976851851851852,0.75,1.0,0.8571428571428571,0.8782126168224299,A1Benchmark/real_15.csv,29,2,4
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8421436915887851,A1Benchmark/real_15.csv,29,3,0
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8285630841121495,A1Benchmark/real_15.csv,29,3,1
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8211156542056075,A1Benchmark/real_15.csv,29,3,2
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8490070093457944,A1Benchmark/real_15.csv,29,3,3
0.9965277777777778,0.625,1.0,0.7692307692307693,0.8894567757009346,A1Benchmark/real_15.csv,29,3,4
0.9930555555555556,0.25,1.0,0.4,0.8406834112149533,A1Benchmark/real_15.csv,11,2,0
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8836156542056075,A1Benchmark/real_15.csv,11,2,1
0.9942129629629628,0.375,1.0,0.5454545454545454,0.8538259345794392,A1Benchmark/real_15.csv,11,2,2
0.9930555555555556,0.25,1.0,0.4,0.8190712616822429,A1Benchmark/real_15.csv,11,2,3
0.9907407407407408,0.25,0.5,0.3333333333333333,0.778767523364486,A1Benchmark/real_15.csv,11,2,4
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8674065420560747,A1Benchmark/real_15.csv,11,3,0
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8539719626168224,A1Benchmark/real_15.csv,11,3,1
0.9965277777777778,0.625,1.0,0.7692307692307693,0.9024532710280372,A1Benchmark/real_15.csv,11,3,2
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8877044392523364,A1Benchmark/real_15.csv,11,3,3
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8571845794392523,A1Benchmark/real_15.csv,11,3,4
0.9976851851851852,0.75,1.0,0.8571428571428571,0.8923773364485981,A1Benchmark/real_15.csv,11,5,0
0.9953703703703703,0.625,0.8333333333333334,0.7142857142857143,0.8875584112149533,A1Benchmark/real_15.csv,11,5,1
0.9965277777777778,0.625,1.0,0.7692307692307693,0.8754380841121495,A1Benchmark/real_15.csv,11,5,2
0.9965277777777778,0.625,1.0,0.7692307692307693,0.875,A1Benchmark/real_15.csv,11,5,3
0.9965277777777778,0.625,1.0,0.7692307692307693,0.8999707943925234,A1Benchmark/real_15.csv,11,5,4
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8520735981308409,A1Benchmark/real_15.csv,19,2,0
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8584988317757009,A1Benchmark/real_15.csv,19,2,1
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8444801401869159,A1Benchmark/real_15.csv,19,2,2
0.9965277777777778,0.625,1.0,0.7692307692307693,0.9018691588785046,A1Benchmark/real_15.csv,19,2,3
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8547021028037383,A1Benchmark/real_15.csv,19,2,4
0.9942129629629628,0.75,0.6666666666666666,0.7058823529411765,0.8406834112149533,A1Benchmark/real_15.csv,19,3,0
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8630257009345794,A1Benchmark/real_15.csv,19,3,1
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8113317757009346,A1Benchmark/real_15.csv,19,3,2
0.9976851851851852,0.75,1.0,0.8571428571428571,0.8698890186915889,A1Benchmark/real_15.csv,19,3,3
0.9965277777777778,0.625,1.0,0.7692307692307693,0.8858060747663551,A1Benchmark/real_15.csv,19,3,4
0.9965277777777778,0.625,1.0,0.7692307692307693,0.8676985981308412,A1Benchmark/real_15.csv,19,5,0
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8195093457943925,A1Benchmark/real_15.csv,19,5,1
0.9953703703703703,0.5,1.0,0.6666666666666666,0.849591121495327,A1Benchmark/real_15.csv,19,5,2
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8221378504672897,A1Benchmark/real_15.csv,19,5,3
0.9953703703703703,0.5,1.0,0.6666666666666666,0.8446261682242991,A1Benchmark/real_15.csv,19,5,4
0.9988597491448121,0.6666666666666666,1.0,0.8,0.9938977879481312,A1Benchmark/real_16.csv,29,2,0
